Year,Facility_Name,Province,CO2,CH4,N2O,Total_Emissions
2022,Lieu d'enfouissement technique de Rivière-du-Loup,Quebec,247.38,956.1621,0.0019,27020.4223
2022,Division Alma,Quebec,38877.071,0.760073,0.67502,39077.233344
2022,"Foothills Pipeline, Alberta",Alberta,336867.3292,482.5719,8.5875,352655.0299
2022,Kingston CoGen,Ontario,998.03,0.243572,0.025105,1011.502841
2022,Redwater Fertilizer Operations,Alberta,1101754.921,4295.113188,16.554313,1226404.9832
2022,Alberta Envirofuels,Alberta,297012.3748,21.26512,5.83702,299154.60842
2022,Alliance Pipeline Ltd. - AB Pipeline System,Alberta,534847.7666,781.460957,11.173841,559689.7412469999
2022,Alberta-Pacific Forest Industries Inc.,Alberta,152118.095,188.8436,28.9026,165068.4971
2022,Rio Tinto Alcan Inc.,British Columbia,280704.66,1.844521,1.791066,420385.33908
2022,Algoma Steel Inc,Ontario,3919732.296,465.849,13.08122,3936242.590432
2022,Aluminerie Alouette inc.,Quebec,1067504.3,2.0469,2.9126,1140897.6062
2022,Aluminerie de Baie-Comeau,Quebec,522720.8916,0.5172,19.93303,534692.70115
2022,Aluminerie de Bécancour inc.,Quebec,792936.7802,1.5378,2.351,821529.6256
2022,ATCO Pipelines - Transmission System,Alberta,61083.4302,1735.6146,4.1783,110814.0481
2022,Atikokan Generating Station,Ontario,18653.86,11.89,5.48,20438.98
2022,Battle River Generating Station,Alberta,874071.0713,17.3333,4.6742,875795.0667000001
2022,Bayside Power,New Brunswick,31074.5,7.8,0.8,31504.9
2022,Usine de Bedford,Quebec,406036.048,2.222,2.506,406762.354
2022,Belledune Generating Station,New Brunswick,2372492.89,20.178,30.012,2381011.054
2022,Boundary Dam Power Station,Saskatchewan,3680020.858,199.10916,99.696555,3712015.500916
2022,Resolute Forest Products - Thunder Bay Operations,Ontario,196275.245,327.27311,24.310657,211881.216235
2022,Brady Road Resource Management Facility,Manitoba,0.0,20994.63,0.0,587849.64
2022,Brampton Assembly Plant,Ontario,61282.12994,1.197,1.062,61597.07594
2022,Brandon Generating Station,Manitoba,19199.45425,4.845441,0.493206,19591.78619
2022,Brazeau Gas Plant,Alberta,130442.3121,233.4911,7.3029,138915.3314
2022,Brazeau River Gas Plant,Alberta,55208.94197,75.63402,1.55914,57739.86663
2022,Brighton Beach Power,Ontario,254049.1935,67.754687,6.798054,257747.809093
2022,Brock West Landfill,Ontario,11.27,1938.65202,0.009304,54295.99212
2022,Brookfield Cement Plant,Nova Scotia,185230.4895,0.7346,0.4653,185374.3628
2022,Burnaby Refinery,British Columbia,480673.6778,142.3517,4.2218,485778.3024
2022,"TransCanada Pipeline, Saskatchewan",Saskatchewan,1099726.454,3095.0007,28.3101,1193888.65
2022,Cabot Canada Limited,Ontario,232832.6253,0.0679,0.0603,232850.506
2022,Calgary Energy Centre,Alberta,762645.7361,56.6069,18.5776,769401.4923
2022,Calstock Power Plant,Ontario,3524.6769,10.0474,6.1314,5430.8251
2022,Northern Lime Limited,Ontario,132354.336,0.7131,0.40168,132480.74802
2022,Canadian Fertilizers Limited,Alberta,1612424.925,64.0831,15.0022,1618194.8352
2022,Cancarb Ltd.,Alberta,177395.71,14.3262,1.4705,178190.0981
2022,"TransCanada Pipeline, Alberta System",Alberta,4619365.888,10474.4131,117.2239,4943713.7885
2022,Cardinal Power,Ontario,53514.2,11.2698,1.2916,54172.0284
2022,Cariboo Pulp and Paper Company,British Columbia,101782.8106,320.89316,51.74258,124479.60279
2022,Caribou North Comp Stn 11-08,Alberta,25634.92374,113.79633,6.345,30502.64598
2022,Dundas Operations,Ontario,433514.7483,5.543189,1.434154,434050.0084
2022,Beachville Operation,Ontario,384323.4867,9.88411,2.05458,385144.70549
2022,Carol Project,Newfoundland and Labrador,820823.349,16.36388,17.928,826032.4576
2022,Carseland Nitrogen Operations,Alberta,461705.8841,463.82743,6.89896,476521.27654
2022,Carseland Power Plant,Alberta,356086.8184,29.6035,8.29,359112.5664
2022,Orica Carseland,Alberta,744.5941,0.0372,133.1014,36017.5067
2022,Ingredion Canada Incorporated - London Plant,Ontario,130577.5378,2.56353,2.275786,131252.3999
2022,Cavalier Energy Centre,Alberta,313675.9739,32.9665,7.9731,316711.9074
2022,Cavendish Farms,Prince Edward Island,47487.39,14.977854,5.951597,49483.943117
2022,Co-op Refinery Complex,Saskatchewan,1722714.55,362.958,31.246,1741157.564
2022,Centrale de Cap-aux-Meules,Quebec,126884.061,1.4684,2.60071,127614.3644
2022,Chimie Parachem s.e.c,Quebec,207964.397,3.4021,2.5416,208733.1798
2022,Christina Lake SAGD Bitumen Battery,Alberta,3857996.64,321.80639,35.56774,3876432.66973
2022,Cimenterie de Saint-Basile,Quebec,769004.5954,3.3196,2.4733,769752.9687
2022,Cimenterie de Saint-Constant,Quebec,726144.75,8.6207,2.9423,727165.8391
2022,Electric Utility - Generation,Alberta,574050.8704,195.178829,14.4846,583354.296644
2022,Clover Bar Energy Centre,Alberta,336325.8275,34.1871,6.6871,339055.1478
2022,Coal Mountain Operations,British Columbia,1911.8508,0.08076,0.21101,1970.02973
2022,Cochrane Extraction Plant,Alberta,524497.4622,213.47888,12.19942,533707.71715
2022,Cold Lake,Alberta,5816538.841,347.1949,109.5353,5855287.153
2022,Coleson Cove Generating Station,New Brunswick,826268.091,8.11,15.26,830539.071
2022,Chatham,Ontario,130386.8834,2.553782,2.192826,131039.4882
2022,Rio Tinto Fer et Titane inc.- Complexe  de Sorel-Tracy,Quebec,980679.0,4.595,6.9308,982930.1880000001
2022,Corner Brook Pulp and Paper,Newfoundland and Labrador,32183.62,1.39081,0.9498,32796.839749
2022,Cory Cogeneration Station,Saskatchewan,519729.913,133.708906,13.370891,527017.0484
2022,Crofton Division,British Columbia,179136.2727,147.8754,37.7263,193274.2534
2022,Delta Plant,British Columbia,720758.2899,27.8786,6.0023,723129.5002
2022,ATCO Gas - Distribution System,Alberta,56329.5557,3912.5864,1.4308,166261.1369
2022,Kruger Trois-Rivières S.E.C.,Quebec,81916.0,8.799,2.453,82825.417
2022,Usine Kénogami,Quebec,20979.59,262.848,0.363,28435.529
2022,ArcelorMittal Dofasco,Ontario,3952137.065,13.904485,12.024961,3960611.5103
2022,Espanola Mill,Ontario,183803.401,1614.5892,7.1051,230906.5437
2022,East Calgary Landfill,Alberta,936.0,1381.7033,0.2607,39692.7779
2022,East Crossfield Gas Plant 9-14-28-1W5,Alberta,58128.918,87.170011,2.751003,61298.694103
2022,Edmonton Site,Alberta,23823.74,4.644,0.56,25274.9282
2022,Edmonton Refinery,Alberta,1297497.149,115.7326,9.3641,1303316.3338
2022,Twin Rivers Pulp Ltd.,New Brunswick,30784.2612,328.6605,32.2535,48533.9327
2022,Edson Gas Plant,Alberta,162333.8582,676.1998,8.53808,183530.04386
2022,Ekati Diamond Mine,Northwest Territories,163698.04,6.755129,3.745805,164879.821934
2022,Elkem Métal Chicoutimi,Quebec,118703.115,71.312827,1.553998,121140.071226
2022,"Foothills Pipeline, British Columbia System",British Columbia,374464.7707,841.1882,9.76056,400604.58865
2022,Elkview Operations,British Columbia,273747.9004,7435.87145,32.5361,490600.2175
2022,Elmworth Gas Plant,Alberta,177454.3468,166.04917,4.62299,183328.81596
2022,Empress Gas Plant,Alberta,70816.1086,118.8796,1.3024,74489.8734
2022,Empress 6,Alberta,225225.4279,121.1473,4.0605,229693.5848
2022,Exshaw Plant,Alberta,179411.3966,1.159,1.0175,179713.4861
2022,Exshaw Cement Plant,Alberta,1174773.913,6.1248,5.5437,1176414.4876
2022,Faulkner Plant,Manitoba,106603.2035,0.81107,0.4961,106757.37993
2022,Woodstock Plant,Ontario,419409.2916,4.484967,2.578523,420218.1792
2022,Fording River Operations,British Columbia,468323.6889,11508.7307,58.0863,805961.018
2022,Fort Nelson Gas Plant,British Columbia,383276.019,97.110325,3.129156,386824.334535
2022,Fort Nelson Generating Station,British Columbia,193127.2271,49.259164,4.935805,195814.471975
2022,Fort Saskatchewan,Alberta,281118.1962,46.77526,3.9804,283482.70948
2022,Fort Saskatchewan Thermal Electric(Cogeneration) Power Plant,Alberta,447877.3515,30.756161,8.772778,451091.510236
2022,Fort Saskatchewan Nitrogen Operations,Alberta,664936.4895,118.51037,7.46144,670232.0614199999
2022,Fort Saskatchewan Storage and Fractionation,Alberta,109653.5972,12.3087,3.6983,110978.2903
2022,Fort Saskatchewan EOEG,Alberta,59583.1416,406.5162,0.0025,70966.2577
2022,Gathering,British Columbia,83363.05224,973.461481,14.487061,114459.044874
2022,Genesee Thermal Generating Station,Alberta,8694949.048,122.4951,153.6589,8739098.519700002
2022,"Gerdau Ameristeel Corporation, Whitby Mill",Ontario,123596.3076,1.58617,1.42958,124036.65926
2022,International Paper Canadian Pulp Holdings ULC,Alberta,116108.1694,1389.1079,19.5204,160234.3213
2022,Greenhills Operations,British Columbia,265507.2909,7981.8376,25.195271,495675.4905
2022,Birla Carbon Canada Ltd.,Ontario,202056.196,0.1,0.089,202082.581
2022,Hangingstone SAGD Demonstration Facility,Alberta,205163.6689,30.4914,3.6527,206985.3936
2022,Hanlan Robb Gas Plant,Alberta,153082.8964,4.3614,1.4,153576.0156
2022,Harmac Pacific Operations,British Columbia,131828.7672,116.1405,31.4059,143490.0289
2022,Harmattan Gas Processing Plant,Alberta,353634.3684,422.15552,20.72275,370946.25165
2022,Havelock Plant,New Brunswick,65109.57312,1.18206,0.3689,65240.4293
2022,Hays Gas Plant 11-31-013-14 W4M,Alberta,35635.376,40.384,1.3,37110.628
2022,HBMS Flin Flon Metallurgical Complex,Manitoba,29148.782,1.302,2.058,29730.608
2022,Hendrickson Springs,Ontario,11293.464,0.26164,0.2,11353.78992
2022,Hibernia Platform,Newfoundland and Labrador,440023.0475,470.861598,9.355807,455686.461023
2022,Highvale Coal Mine,Alberta,5865.477,0.15992,0.45005,5989.218010000001
2022,"Hinton Pulp, a division of West Fraser Mills Ltd.",Alberta,195373.039,1037.4566,17.163265,228970.089
2022,Holyrood Thermal Generating Station,Newfoundland and Labrador,651767.24,6.87,12.97,655396.65
2022,Howe Sound Pulp and Paper Mill,British Columbia,99466.7327,143.1483,35.74,112945.9851
2022,Lloydminster Upgrader,Saskatchewan,1048279.266,2035.90685,13.08511,1108752.21219
2022,Entreprise Indorama PTA Montréal s.e.c.,Quebec,105113.504,5.7002,1.1136,105568.2136
2022,INVISTA (Canada) Company-Maitland Site,Ontario,88049.565,0.924,0.82,88356.187
2022,EVRAZ Inc NA Canada - Regina Facilities,Saskatchewan,242498.4708,3.343241,2.521595,243260.304195
2022,Iroquois Falls Generating Station,Ontario,1615.888,0.322692,0.038766,1635.196366
2022,Joffre LAO Plant,Alberta,113043.1353,3.2563,2.1056,113692.2957
2022,Usine de Joliette,Quebec,9974.42,0.0524,0.2006,10029.0462
2022,Judy Creek Gas Conservation Plant,Alberta,46459.88403,276.44011,1.95154,54717.36521
2022,Kamloops Mill (SFO),British Columbia,91066.54,52.42351,26.1288,99458.53028
2022,Karr 10-10-065-02 W6M,Alberta,69089.434,154.35,17.05,77929.484
2022,Kaybob Amalgamated Sour Gas Plant,Alberta,160750.6901,358.0803,10.02116,173432.5459
2022,Kaybob South #3 Gas Plant,Alberta,307263.801,208.703049,4.589072,314323.590502
2022,Keele Valley Landfill,Ontario,89.045,18739.7931,0.059,524818.8868
2022,Keephills Thermal Electric Power Generating Plant,Alberta,2672197.84,51.987002,14.136998,2677399.78082
2022,"TransCanada Pipeline, Ontario",Ontario,857564.586,6705.032,22.041,1051146.347
2022,Kidd Metallurgical Site,Ontario,30661.36974,1.327386,0.455337,30819.200849
2022,Kirkland Lake Generating Station,Ontario,43929.621,11.4265,1.1521,44554.8695
2022,"KRONOS Canada, Inc.",Quebec,187031.3623,2.15243,2.1017,187648.58091
2022,Kruger Wayagamack,Quebec,58771.7,30.1956,8.175,61783.55179999999
2022,Richmond Cement Plant,British Columbia,470066.24,3.37903,1.997734,470690.25235
2022,Bath Cement Plant,Ontario,645206.23,19.6964,3.5132,646688.7272
2022,Edmonton Plant,Alberta,529910.8427,39.123,2.6312,531703.5547
2022,Lennox Generating Station,Ontario,101526.75,13.77,2.21,102497.96
2022,Lingan Generating Station,Nova Scotia,2101436.957,20.281271,26.896702,2111496.559011
2022,MacKay River Power Plant,Alberta,830105.07,58.61,19.65,836953.3999999999
2022,"MacKay River, In-Situ Oil Sands Plant",Alberta,415345.2438,117.650695,4.842318,419922.677556
2022,Canadian Kraft Paper Industries Ltd.,Manitoba,72468.588,200.592017,23.30004,84259.67508
2022,Usine de Marbleton,Quebec,191293.953,6.26011,2.28757,192075.44213
2022,McMahon Cogen Plant,British Columbia,528319.45,37.578215,13.324461,532902.6222
2022,McMahon Gas Plant,British Columbia,119717.9855,162.033696,0.606698,124415.703962
2022,Meridian Cogeneration Plant,Saskatchewan,885176.6136,227.440632,22.633791,897542.905968
2022,Mildred Lake and Aurora Plant Sites,Alberta,12939949.14,11438.8255,214.9633,13317848.7979
2022,Mine de Mont-Wright,Quebec,267419.249,13.9851,95.417,293096.3368
2022,Mississauga Lubricants Centre,Ontario,468038.9656,169.499123,8.022406,474910.878634
2022,Mississauga Cement Plant,Ontario,990920.4858,138.9435,8.2401,996994.5303000001
2022,Mohawk Street Landfill,Ontario,564.9591,5108.97138,0.01821,143620.98339
2022,Mosaic Potash Belle Plaine,Saskatchewan,709241.949,138.6162,16.1771,717410.1341
2022,Muskeg River Cogeneration Plant,Alberta,1404994.491,76.3578,26.1508,1414062.471
2022,Imperial Oil Nanticoke Refinery,Ontario,1140309.019,301.2015,15.7941,1152928.0973
2022,Nipigon Power Plant,Ontario,1931.363,0.45323,0.04831,1956.85559
2022,Norman Wells Central Processing Facility,Northwest Territories,67882.54668,62.185225,1.489803,70018.530772
2022,Braya Renewable Fuels (Newfoundland) LP,Newfoundland and Labrador,46649.0,29.6,1.9217,47987.0505
2022,Northwood Pulp Mill,British Columbia,218865.595,77.5329,29.1046,228749.2352
2022,Corunna Site,Ontario,741007.8904,189.245512,17.930802,751058.427345
2022,INEOS Styrolution,Ontario,99424.4192,19.0909,1.2642,100500.8074
2022,St. Clair River Site,Ontario,63111.44765,4.303418,1.127779,63530.804788
2022,NOVA Chemicals Corporation (Joffre),Alberta,3297589.655,291.4752,42.7763,3317236.8599
2022,Oshawa Assembly Plant,Ontario,91545.303,1.825,1.542,92005.03300000001
2022,Ottawa Health Sciences Centre (OHSC) Cogeneration Facility,Ontario,29559.02983,7.660956,0.766517,29976.6636
2022,Usine de Thurso,Quebec,39346.0,383.5724,1.8743,50588.83343000001
2022,CNUL Peace River Complex,Alberta,178560.1422,152.886024,1.334617,183194.62437
2022,Mercer Peace River,Alberta,196504.9728,114.173525,11.255032,202684.415
2022,CEPSA Chimie Bécancour,Quebec,72597.0,1.02,0.91,72866.71
2022,Picton  Plant,Ontario,672432.6588,24.1638,1.8312,673594.5131999999
2022,Pine River Sour Gas Plant C-085-D,British Columbia,419322.89,379.43,3.31,430824.08
2022,Transmission Mainline - BC,British Columbia,1012376.478,3063.721,27.0061,1105317.2825
2022,Point Aconi Generating Station,Nova Scotia,976754.1735,24.323592,7.19682,979342.391391
2022,Point Tupper Generating Station,Nova Scotia,610520.6619,6.350404,7.792338,612920.8928220001
2022,Poplar River Power Station,Saskatchewan,3668310.853,164.456778,90.904672,3697005.381653
2022,Port Alberni Division,British Columbia,5876.1103,0.1422,3.2853,6750.6964
2022,Prentiss Chemical Manufacturing Facility,Alberta,148752.516,15.7739,1.8274,149678.4462
2022,Prince George Refinery,British Columbia,134273.5646,38.993126,1.56149,135779.166948
2022,Progress Gas Plant 01-01-078-10 W6M,Alberta,26713.15,124.218,2.74,30917.354
2022,Queen Elizabeth Power Station,Saskatchewan,1218897.975,313.713972,31.371396,1235995.386
2022,Quirk Creek Gas Plant,Alberta,79039.2125,66.7994,3.2831,81779.6172
2022,Raffinerie de Montreal,Quebec,1126882.21,136.551,13.827,1134369.793
2022,Énergie Valero Inc. - Raffinerie Jean-Gaulin,Quebec,1269602.0,54.53824,13.9624,1274946.6067
2022,Mine Raglan,Quebec,128077.8739,28.591741,1.405269,129263.646421
2022,Rainbow Lake Cogeneration Power Plant (Units 4-5),Alberta,330865.0273,19.9572,7.0992,333305.1169
2022,Ram River Sour Gas Plant,Alberta,272594.4573,184.4145,4.9857,279079.2738
2022,"TransCanada Pipeline, Manitoba",Manitoba,239768.8581,3161.6747,6.1711,329931.0912
2022,Redwater Cogeneration Plant,Alberta,195418.9224,13.31158,4.29,196928.49665
2022,Irving Oil Refinery,New Brunswick,2923523.75,1178.7147,29.57363,2964364.77405
2022,"Foothills Pipeline, Saskatchewan",Saskatchewan,161667.4535,613.1512,4.1263,179929.1566
2022,Rimbey Gas Plant,Alberta,335967.12,281.05531,7.94412,345941.86046
2022,Sarnia Chemical Plant,Ontario,280117.6347,112.031466,5.07638,284599.756475
2022,Sarnia Cogen Plant,Ontario,375822.9939,95.5987,9.5698,381035.7545
2022,Sarnia Fractionation Plant,Ontario,187172.6123,15.191812,2.933713,188375.41705
2022,Sarnia Manufacturing Centre,Ontario,712281.3549,298.2008,7.109299,722556.2061360001
2022,Sarnia Refinery,Ontario,733013.8643,112.324265,14.305811,739949.983585
2022,Sarnia Refinery Plant,Ontario,1503831.316,509.061029,19.069196,1523138.361527
2022,Sarnia Regional Cogeneration Facility,Ontario,1094982.21,283.516682,28.351668,1110433.869
2022,Alliance Pipeline Ltd. - SK Pipeline System,Saskatchewan,405860.4431,673.680664,10.285136,427449.062766
2022,SaskEnergy Incorporated,Saskatchewan,18470.41436,2026.85406,0.48541,75350.96169
2022,Yara Belle Plaine Inc.,Saskatchewan,513428.8106,153.1406,37.0904,527545.7034
2022,Scotford Chemical Plant,Alberta,256190.0657,19.2712,5.8237,259859.2828
2022,Scotford Complex,Alberta,486153.9,116.76,11.68,492518.38
2022,Scotford Upgrader and Upgrader Cogeneration,Alberta,2401563.724,750.6796,35.6618,2432033.7149
2022,Fibrek SENC,Quebec,80311.0,77.068,14.425,86291.52900000001
2022,Shand Power Station,Saskatchewan,1758725.882,77.665307,39.823523,1771453.743905
2022,Sheerness Generating Station,Alberta,1634653.98,31.5581,8.7129,1637880.0732
2022,Caroline Complex,Alberta,300917.544,26.8416,7.8041,303737.1953
2022,Jumping Pound Complex,Alberta,194782.3876,114.3005,5.8938,199544.6586
2022,Shell Scotford Refinery,Alberta,1017888.642,213.9681,13.536271,1027473.296023
2022,"Koch Fertilizer Canada, ULC",Manitoba,691517.199,7.939,90.767,715792.746
2022,Site de Témiscaming,Quebec,165978.0,103.59,22.39,174811.87
2022,Bowmanville Cement Plant,Ontario,1159625.197,13.0977,5.4097,1161425.5029
2022,St. Marys Cement Plant,Ontario,539672.0971,5.7803,1.458852,540220.54128
2022,Hamilton,Ontario,258938.81,623.6781,10.1652,279095.5748
2022,Lake Erie,Ontario,3752379.367,479.69103,9.05955,3768211.4966
2022,Strachan Gas Plant,Alberta,146623.0417,354.67881,9.72334,159130.7334
2022,"Imperial Oil, Strathcona Refinery",Alberta,1708576.303,215.343,20.5514,1720052.0286
2022,Summit Road Landfill,Manitoba,0.0,2640.19,0.0,73925.32
2022,Sundance Thermal Electric Power Generating Plant,Alberta,876305.6046,17.253301,15.953139,881016.2788930001
2022,CF Industries Courtright Nitrogen Complex,Ontario,539220.1903,114.9699,32.706,551106.4375
2022,AV Terrace Bay,Ontario,156818.5,252.967,13.483,167474.571
2022,"Teck Metals Ltd, Trail Operations",British Columbia,333131.32,48.4125,3.1023,335348.4595
